Track ID,Track Name,Artist(s),Spotify URL,Artist Name,Genres,Album Name,Album Type,Label,Album Image URL
1o8MqUvBiDIXxof2TuuPSX,Kitna Pyaara Tujhe Rabne Banaya,"Alka Yagnik, Udit Narayan",https://open.spotify.com/track/1o8MqUvBiDIXxof2TuuPSX,Alka Yagnik,"bollywood, hindi pop, desi",Raja Hindustani (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273261cc572f6df52bfd2ad5743
2U2uteVH6UeNen0OFGwQpq,Aashiqui Mein Har Aashiq,Sadhana Sargam,https://open.spotify.com/track/2U2uteVH6UeNen0OFGwQpq,Sadhana Sargam,"tamil pop, bollywood",Dil Ka Kya Kasoor (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273c306c2c18583509c1a1f3dac
7qzsNpJvOR8attSueN3zqq,Do Dil Mil Rahe Hai,Kumar Sanu,https://open.spotify.com/track/7qzsNpJvOR8attSueN3zqq,Kumar Sanu,"bollywood, hindi pop",Pardes (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273a9df849755dad656e002852e
3CVsfCGtVJGLH9UQMKmBMC,Meri Mehbooba,"Kumar Sanu, Alka Yagnik",https://open.spotify.com/track/3CVsfCGtVJGLH9UQMKmBMC,Kumar Sanu,"bollywood, hindi pop",Pardes (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273a9df849755dad656e002852e
7hVpRzuzlOGZVRTNpfHAze,Pyar Kiya To Nibhana,"Anuradha Paudwal, Udit Narayan",https://open.spotify.com/track/7hVpRzuzlOGZVRTNpfHAze,Anuradha Paudwal,"bhajan, marathi pop, devotional, ghazal",Major Saab,album,,https://i.scdn.co/image/ab67616d0000b2739f8ea8c6bcd5b9cca33673e2
4RixtPhUXlci9ad4qIMj23,Kuch Kuch Hota Hai,"Jatin-Lalit, Udit Narayan, Alka Yagnik",https://open.spotify.com/track/4RixtPhUXlci9ad4qIMj23,Jatin-Lalit,"bollywood, hindi pop, desi",Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273fe841eef499c6933add94d57
6f3C6rJo7zvmfr1h5SRvxg,Ladki Badi Anjani Hai,"Jatin-Lalit, Kumar Sanu, Alka Yagnik",https://open.spotify.com/track/6f3C6rJo7zvmfr1h5SRvxg,Jatin-Lalit,"bollywood, hindi pop, desi",Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273fe841eef499c6933add94d57
7GEVFIpWpZJwGoMvVpow5a,Ae Mere Humsafar,"Vinod Rathod, Alka Yagnik",https://open.spotify.com/track/7GEVFIpWpZJwGoMvVpow5a,Vinod Rathod,"gujarati garba, bollywood",Baazigar (Original Motion Picture Soundtrack),compilation,,https://i.scdn.co/image/ab67616d0000b27335a839c5808966662af8a2b4
6cCSo8zu3bRck519ZqRGfk,Pehla Nasha,"Udit Narayan, Sadhana Sargam",https://open.spotify.com/track/6cCSo8zu3bRck519ZqRGfk,Udit Narayan,"bollywood, hindi pop, desi",Jo Jeeta Wohi Sikandar,album,,https://i.scdn.co/image/ab67616d0000b273206e7788d2e4e4aee63046fb
10nnCsc6unlme3bImINZV3,Aisi Deewangi,"Alka Yagnik, Vinod Rathod",https://open.spotify.com/track/10nnCsc6unlme3bImINZV3,Alka Yagnik,"bollywood, hindi pop, desi",Deewana (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2730d345e6c5c252b8461dc3733
